0 Electric Technic Micromotor Top
0 Name: 2984.dat            
0 Author: Remco Braak <rbraak@nat.vu.nl>          
0 Modified By: Jonathan Wilson          
0 LDRAW_ORG Part UPDATE 2002-02

0 2000-Dec-30 Bram Lambrecht <bram@cwru.edu>

 2 24 20 -10 -20 20 -10 20      
 2 24 20 -10 20 -20 -10 20      
 2 24 -20 -10 20 -20 -10 -20      
 2 24 -20 -10 -20 20 -10 -20      
 4 16 20 -10 20 20 -10 -20 -20 -10 -20 -20 -10 20
 2 24 20 -10 -20 20 4 -20      
 2 24 -20 -10 -20 -20 4 -20      
 2 24 20 -10 20 20 -4 20      
 2 24 -20 -10 20 -20 -4 20      
 2 24 20 -4 -12 20 4 -12      
 2 24 -20 -4 -12 -20 4 -12      
 2 24 20 4 -20 20 4 -12      
 2 24 -20 4 -20 -20 4 -12      
 2 24 20 -4 -12 20 -4 20      
 2 24 -20 -4 -12 -20 -4 20      
 4 16 20 -10 -20 20 -4 -20 20 -4 20 20 -10 20
 4 16 -20 -10 -20 -20 -4 -20 -20 -4 20 -20 -10 20
 4 16 20 -4 -20 20 4 -20 20 4 -12 20 -4 -12
 4 16 -20 -4 -20 -20 4 -20 -20 4 -12 -20 -4 -12
 4 16 20 -4 -20 20 -4 20 -20 -4 20 -20 -4 -20
 2 24 20 -4 -12 12 -4 -12      
 2 24 12 -4 -12 12 -4 -15      
 2 24 12 -4 -15 17 -4 -15      
 2 24 17 -4 -15 17 -4 -17      
 2 24 -20 -4 -12 -12 -4 -12      
 2 24 -12 -4 -12 -12 -4 -15      
 2 24 -12 -4 -15 -17 -4 -15
 2 24 -17 -4 -15 -17 -4 -17
 2 24 17 -4 -17 -17 -4 -17
 2 24 20 4 -20 16 4 -20
 2 24 16 4 -20 12 0 -20
 2 24 12 0 -20 6.18 -3.02 -20
 2 24 6.18 -3.02 -20 0 -4 -20
 2 24 17 4 -17 16 4 -17
 2 24 16 4 -17 12 0 -17
 2 24 12 0 -17 6.18 -3.02 -17
 2 24 6.18 -3.02 -17 0 -4 -17
 2 24 17 4 -15 16 4 -15
 2 24 16 4 -15 12 0 -15
 2 24 20 4 -12 16 4 -12
 2 24 16 4 -12 12 0 -12
 2 24 17 4 -17 17 4 -15
 2 24 12 0 -15 12 0 -12
 2 24 -20 4 -20 -16 4 -20
 2 24 -16 4 -20 -12 0 -20
 2 24 -12 0 -20 -6.18 -3.02 -20
 2 24 -6.18 -3.02 -20 0 -4 -20
 2 24 -17 4 -17 -16 4 -17
 2 24 -16 4 -17 -12 0 -17
 2 24 -12 0 -17 -6.18 -3.02 -17
 2 24 -6.18 -3.02 -17 0 -4 -17
 2 24 -17 4 -15 -16 4 -15
 2 24 -16 4 -15 -12 0 -15
 2 24 -20 4 -12 -16 4 -12
 2 24 -16 4 -12 -12 0 -12
 2 24 -17 4 -17 -17 4 -15
 2 24 -12 0 -15 -12 0 -12
 2 24 12 0 -12 12 -4 -12
 2 24 12 0 -15 12 -4 -15      
 2 24 17 4 -15 17 -4 -15      
 2 24 17 4 -17 17 -4 -17      
 2 24 -12 0 -12 -12 -4 -12      
 2 24 -12 0 -15 -12 -4 -15      
 2 24 -17 4 -15 -17 -4 -15      
 2 24 -17 4 -17 -17 -4 -17      
 2 24 16 4 -12 16 4 -15      
 2 24 16 4 -17 16 4 -20      
 2 24 -16 4 -12 -16 4 -15      
 2 24 -16 4 -17 -16 4 -20      
 4 16 20 -4 -12 20 4 -12 16 4 -12 16 -4 -12
 4 16 16 -4 -12 16 4 -12 12 0 -12 12 -4 -12
 4 16 12 -4 -12 12 0 -12 12 0 -15 12 -4 -15
 4 16 12 -4 -15 12 0 -15 16 4 -15 16 -4 -15
 4 16 16 -4 -15 16 4 -15 17 4 -15 17 -4 -15
 4 16 17 -4 -15 17 4 -15 17 4 -17 17 -4 -17
 4 16 17 -4 -17 17 4 -17 16 4 -17 16 -4 -17
 4 16 16 -4 -17 16 4 -17 12 0 -17 12 -4 -17
 4 16 12 -4 -17 12 0 -17 6.18 -3.02 -17 6.18 -4 -17
 3 16 6.18 -4 -17 6.18 -3.02 -17 0 -4 -17   
 4 16 -20 -4 -12 -20 4 -12 -16 4 -12 -16 -4 -12
 4 16 -16 -4 -12 -16 4 -12 -12 0 -12 -12 -4 -12
 4 16 -12 -4 -12 -12 0 -12 -12 0 -15 -12 -4 -15
 4 16 -12 -4 -15 -12 0 -15 -16 4 -15 -16 -4 -15
 4 16 -16 -4 -15 -16 4 -15 -17 4 -15 -17 -4 -15
 4 16 -17 -4 -15 -17 4 -15 -17 4 -17 -17 -4 -17
 4 16 -17 -4 -17 -17 4 -17 -16 4 -17 -16 -4 -17
 4 16 -16 -4 -17 -16 4 -17 -12 0 -17 -12 -4 -17
 4 16 -12 -4 -17 -12 0 -17 -6.18 -3.02 -17 -6.18 -4 -17
 3 16 -6.18 -4 -17 -6.18 -3.02 -17 0 -4 -17   
 4 16 12 0 -12 12 0 -15 16 4 -15 16 4 -12
 4 16 16 4 -12 16 4 -15 17 4 -15 20 4 -12
 4 16 20 4 -12 17 4 -15 17 4 -17 20 4 -20
 4 16 20 4 -20 17 4 -17 16 4 -17 16 4 -20
 4 16 16 4 -20 16 4 -17 12 0 -17 12 0 -20
 4 16 12 0 -20 12 0 -17 6.18 -3.02 -17 6.18 -3.02 -20
 4 16 6.18 -3.02 -20 6.18 -3.02 -17 0 -4 -17 0 -4 -20
 4 16 -12 0 -12 -12 0 -15 -16 4 -15 -16 4 -12
 4 16 -16 4 -12 -16 4 -15 -17 4 -15 -20 4 -12
 4 16 -20 4 -12 -17 4 -15 -17 4 -17 -20 4 -20
 4 16 -20 4 -20 -17 4 -17 -16 4 -17 -16 4 -20
 4 16 -16 4 -20 -16 4 -17 -12 0 -17 -12 0 -20
 4 16 -12 0 -20 -12 0 -17 -6.18 -3.02 -17 -6.18 -3.02 -20
 4 16 -6.18 -3.02 -20 -6.18 -3.02 -17 0 -4 -17 0 -4 -20
 4 16 20 -10 -20 20 4 -20 16 4 -20 16 -10 -20
 4 16 16 -10 -20 16 4 -20 12 0 -20 12 -10 -20
 4 16 12 -10 -20 12 0 -20 6.18 -3.02 -20 6.18 -10 -20
 4 16 6.18 -10 -20 6.18 -3.02 -20 0 -4 -20 0 -10 -20
 4 16 -20 -10 -20 -20 4 -20 -16 4 -20 -16 -10 -20
 4 16 -16 -10 -20 -16 4 -20 -12 0 -20 -12 -10 -20
 4 16 -12 -10 -20 -12 0 -20 -6.18 -3.02 -20 -6.18 -10 -20
 4 16 -6.18 -10 -20 -6.18 -3.02 -20 0 -4 -20 0 -10 -20
 2 24 20 -4 20 6 -4 20      
 2 24 6 -4 20 4 4 20      
 2 24 4 4 20 2 4 20      
 2 24 2 4 20 2 -4 20      
 2 24 6 -4 20 6 -4 16      
 2 24 6 -4 16 4 4 16      
 2 24 4 4 16 2 4 16      
 2 24 2 4 16 2 -4 16      
 2 24 2 -4 16 2 -4 20      
 2 24 4 4 16 4 4 20      
 2 24 2 4 16 2 4 20      
 2 24 6 -4 16 2 -4 16      
 2 24 -20 -4 20 -6 -4 20      
 2 24 -6 -4 20 -4 4 20      
 2 24 -4 4 20 -2 4 20      
 2 24 -2 4 20 -2 -4 20      
 2 24 -6 -4 20 -6 -4 16      
 2 24 -6 -4 16 -4 4 16      
 2 24 -4 4 16 -2 4 16      
 2 24 -2 4 16 -2 -4 16      
 2 24 -2 -4 16 -2 -4 20      
 2 24 -4 4 16 -4 4 20      
 2 24 -2 4 16 -2 4 20      
 2 24 -6 -4 16 -2 -4 16      
 2 24 2 -4 20 -2 -4 20      
 4 16 6 -4 20 6 -4 16 4 4 16 4 4 20
 4 16 4 4 20 4 4 16 2 4 16 2 4 20
 4 16 2 4 20 2 4 16 2 -4 16 2 -4 20 
 4 16 6 -4 20 4 4 20 2 4 20 2 -4 20 
 4 16 6 -4 16 4 4 16 2 4 16 2 -4 16 
 4 16 -6 -4 20 -6 -4 16 -4 4 16 -4 4 20 
 4 16 -4 4 20 -4 4 16 -2 4 16 -2 4 20 
 4 16 -2 4 20 -2 4 16 -2 -4 16 -2 -4 20 
 4 16 -6 -4 20 -4 4 20 -2 4 20 -2 -4 20 
 4 16 -6 -4 16 -4 4 16 -2 4 16 -2 -4 16 
 4 16 20 -4 20 20 -10 20 -20 -10 20 -20 -4 20 
 1 16 -10 -10 10 1 0 0 0 1 0 0 0 1 STUD2.dat
 1 16 -10 -10 -10 1 0 0 0 1 0 0 0 1 STUD2.dat
 1 16 10 -10 -10 1 0 0 0 1 0 0 0 1 STUD2.dat
 1 16 10 -10 10 1 0 0 0 1 0 0 0 1 STUD2.dat
0               
